Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-12-14,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,317.77,6,6,1,1,53,53,16500,317.77,317.77,1.93%,0%,33000
Meta Ads,,FaceBook_University_Admit,2025-12-14,IIIM_Online_Admission-AU,IIIM_Online_Admission-AU_AdG1_Ad1,393.16,13,12,0,0,30,33,0,-,-,-,8%,0
Meta Ads,,FaceBook_University_Admit,2025-12-14,IIIM_Programs_Admission-AU,IIIM_Programs_Admission-AU_AdG1_Ad1,433.61,17,16,0,0,26,27,0,-,-,-,6%,0
Meta Ads,,FaceBook_University_Admit,2025-12-14,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,398.89,4,3,0,0,100,133,0,-,-,-,25%,0
Meta Ads,,FaceBook_University_Admit,2025-12-14,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,487.78,13,12,1,1,38,41,17150,487.78,487.78,2.84%,8%,36400
Meta Ads,,FaceBook_University_Admit,2025-12-16,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,600.82,22,19,0,0,27,32,0,-,-,-,14%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,311.04,3,4,0,0,104,78,0,-,-,-,-33%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,376.78,4,4,0,0,94,94,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,IIIM_Online_Admission-AU,IIIM_Online_Admission-AU_AdG1_Ad1,496.02,23,22,1,0,22,23,0,496.02,-,-,4%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,IIIM_Programs_Admission-AU,IIIM_Programs_Admission-AU_AdG1_Ad1,486.27,19,18,0,0,26,27,0,-,-,-,5%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,MBA_Shoolni_Aryan,MBA_Shoolni_AD04_Aryan,0.03,0,0,0,0,0,0,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,462.73,4,4,0,0,116,116,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-16,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,755.98,11,10,1,0,69,76,0,755.98,-,-,9%,0
Meta Ads,,FaceBook_University_Admit,2025-12-17,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,558.55,24,23,0,0,23,24,0,-,-,-,4%,0
Meta Ads,,FaceBook_University_Admit,2025-12-17,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,340.53,2,2,0,0,170,170,0,-,-,-,0%,0
