Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-05-06,Degreefyd_B,CU_Lucknow_Rem_Ad02,12.44,0.0,0,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,225.42,0.0,3,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad01,37.63,0.0,0,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,177.16,0.0,15,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,6.9,0.0,0,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,162.24,0.0,2,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,164.68,0.0,1,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Ignou_Online_MBA_SF_Ad1,90.62,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,IGNOU_ONLINE_Degree_CR1,310.41,0.0,15,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Online_MBA_SF_G1_CR1,129.5,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Online_MBA_SF_G1_CR2,43.11,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,CGC_Landran_UG&PG_CR1,1.09,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,CGC_BTECH_REGU_SF_CR2,150.31,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,CGC_BTECH_REGU_Rem_SF_AD_01,136.3,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,CGC_Landran_UG&PG_SF_CR2,98.24,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Online_UG&PG_SF_CR1,14.84,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Online_BBA_SF_ASH_CR1,164.31,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Online_UG&PG_SF_CR2,221.69,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Online_UG_Video_SF_VD2,156.13,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,ONLINE_MBA_SF_ASH_2_CR1,60.91,0.0,3,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,Amity_Online_MBA_SF_CR1,181.9,0.0,0,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,ONLINE_MBA_SF_ASH_2_CR2,118.16,0.0,3,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,ONLINE_MBA_SF_ASH_3_CR1,173.55,0.0,6,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,ONLINE_MBA_SF_ASH_3_CR2,14.9,0.0,3,0.0,0,0.0,MISSING
2026-05-06,DegreeFYD,CU_ONLINE_UG&PG_ASH_4_CR1,127.21,0.0,0,0.0,0,0.0,MISSING
